epoch,step,train_loss,val_loss
0,49,2.8021445274353027,
0,99,1.747418761253357,
0,149,0.23221954703330994,
0,199,-1.0248780250549316,
0,249,-1.504349708557129,
0,299,-1.986793875694275,
0,349,-1.8450456857681274,
0,351,,-1.882673978805542
1,399,-1.6152901649475098,
1,449,-2.219698429107666,
1,499,-2.0806963443756104,
1,549,-1.981282353401184,
1,599,-1.4849910736083984,
1,649,-2.032803773880005,
1,699,-2.273660659790039,
1,703,,-2.155632734298706
2,749,-2.1953935623168945,
2,799,-2.4835472106933594,
2,849,-2.351447343826294,
2,899,-2.535325765609741,
2,949,-1.9219204187393188,
2,999,-2.573167324066162,
2,1049,-2.4997124671936035,
2,1055,,-2.287383556365967
3,1099,-2.6613802909851074,
3,1149,-2.8663580417633057,
3,1199,-2.691499710083008,
3,1249,-2.5608749389648438,
3,1299,-2.4316186904907227,
3,1349,-2.4888253211975098,
3,1399,-2.707287311553955,
3,1407,,-2.4747021198272705
4,1449,-2.676262855529785,
4,1499,-2.328782081604004,
4,1549,-2.8584532737731934,
4,1599,-2.3968377113342285,
4,1649,-2.580993413925171,
4,1699,-2.8151187896728516,
4,1749,-2.6408910751342773,
4,1759,,-2.545289993286133
5,1799,-2.8151602745056152,
5,1849,-2.616692543029785,
5,1899,-2.379167318344116,
5,1949,-2.522329807281494,
5,1999,-2.625195264816284,
5,2049,-2.694822311401367,
5,2099,-2.8804867267608643,
5,2111,,-2.675601005554199
6,2149,-2.6352269649505615,
6,2199,-2.6961183547973633,
6,2249,-2.5362305641174316,
6,2299,-2.5004806518554688,
6,2349,-2.976015329360962,
6,2399,-2.829728126525879,
6,2449,-2.7171790599823,
6,2463,,-2.58868408203125
7,2499,-2.919539451599121,
7,2549,-2.876082420349121,
7,2599,-2.946831703186035,
7,2649,-2.9364800453186035,
7,2699,-3.1276352405548096,
7,2749,-2.956078052520752,
7,2799,-2.45723557472229,
7,2815,,-2.5598387718200684
8,2849,-2.4665966033935547,
8,2899,-2.7984683513641357,
8,2949,-2.62554669380188,
8,2999,-2.8623743057250977,
8,3049,-3.1317358016967773,
8,3099,-2.628683090209961,
8,3149,-2.982759952545166,
8,3167,,-2.6989831924438477
9,3199,-2.558058023452759,
9,3249,-3.143543243408203,
9,3299,-2.9321160316467285,
9,3349,-2.621696949005127,
9,3399,-3.0449628829956055,
9,3449,-2.746169090270996,
9,3499,-2.937278985977173,
9,3519,,-2.510371208190918
10,3549,-2.9503321647644043,
10,3599,-3.1472296714782715,
10,3649,-2.903700351715088,
10,3699,-2.829535484313965,
10,3749,-2.595414161682129,
10,3799,-2.9170894622802734,
10,3849,-2.662619113922119,
10,3871,,-2.8200740814208984
11,3899,-2.455868721008301,
11,3949,-3.067220687866211,
11,3999,-2.925595998764038,
11,4049,-2.916110038757324,
11,4099,-2.95943021774292,
11,4149,-2.5799992084503174,
11,4199,-2.9951138496398926,
11,4223,,-2.90934419631958
12,4249,-3.0998528003692627,
12,4299,-2.6790695190429688,
12,4349,-2.897584915161133,
12,4399,-2.672880172729492,
12,4449,-2.831627368927002,
12,4499,-3.0421013832092285,
12,4549,-2.895655632019043,
12,4575,,-2.8128066062927246
13,4599,-2.9459691047668457,
13,4649,-2.6507511138916016,
13,4699,-3.068108081817627,
13,4749,-2.8964104652404785,
13,4799,-3.006382942199707,
13,4849,-2.9025721549987793,
13,4899,-2.7068960666656494,
13,4927,,-2.9115867614746094
14,4949,-2.9032773971557617,
14,4999,-2.6503989696502686,
14,5049,-2.856179714202881,
14,5099,-2.698824882507324,
14,5149,-2.9547271728515625,
14,5199,-2.8316802978515625,
14,5249,-2.7959399223327637,
14,5279,,-2.7855539321899414
15,5299,-2.9645040035247803,
15,5349,-2.9559357166290283,
15,5399,-3.0105364322662354,
15,5449,-2.814809799194336,
15,5499,-3.0635180473327637,
15,5549,-2.967933416366577,
15,5599,-2.9111945629119873,
15,5631,,-2.818734645843506
16,5649,-2.779636859893799,
16,5699,-3.0637707710266113,
16,5749,-3.132463216781616,
16,5799,-2.9705913066864014,
16,5849,-2.9611716270446777,
16,5899,-3.0258543491363525,
16,5949,-3.2549710273742676,
16,5983,,-2.916396379470825
17,5999,-3.2148213386535645,
17,6049,-3.01558518409729,
17,6099,-3.101290225982666,
17,6149,-2.7198023796081543,
17,6199,-3.3441696166992188,
17,6249,-2.9377593994140625,
17,6299,-3.085482597351074,
17,6335,,-2.9804470539093018
18,6349,-2.96215558052063,
18,6399,-2.9017586708068848,
18,6449,-3.068551540374756,
18,6499,-2.8880958557128906,
18,6549,-3.1875038146972656,
18,6599,-2.8813912868499756,
18,6649,-3.0275485515594482,
18,6687,,-2.973085641860962
19,6699,-2.6417198181152344,
19,6749,-3.1686553955078125,
19,6799,-2.9221749305725098,
19,6849,-3.1565089225769043,
19,6899,-2.9711318016052246,
19,6949,-3.0447587966918945,
19,6999,-3.025865077972412,
19,7039,,-2.7442421913146973
